,angle,pm_value,
0,-60,1.97E-08,
1,-59,1.85E-08,
2,-58,1.95E-08,
3,-57,1.94E-08,
4,-56,1.89E-08,
5,-55,2.49E-08,
6,-54,4.83E-08,
7,-53,3.91E-08,
8,-52,1.97E-08,
9,-51,1.82E-08,
10,-50,1.82E-08,
11,-49,1.88E-08,
12,-48,1.80E-08,
13,-47,1.77E-08,
14,-46,1.76E-08,
15,-45,1.85E-08,
16,-44,3.58E-08,
17,-43,4.67E-08,
18,-42,2.85E-08,
19,-41,1.79E-08,
20,-40,1.72E-08,
21,-39,1.67E-08,
22,-38,1.67E-08,
23,-37,1.64E-08,
24,-36,1.62E-08,
25,-35,1.67E-08,
26,-34,1.61E-08,
27,-33,1.57E-08,
28,-32,1.59E-08,
29,-31,1.55E-08,
30,-30,1.50E-08,
31,-29,1.47E-08,
32,-28,1.54E-08,
33,-27,1.56E-08,
34,-26,1.60E-08,
35,-25,1.52E-08,
36,-24,1.71E-08,
37,-23,1.70E-08,
38,-22,1.80E-08,
39,-21,1.84E-08,
40,-20,1.89E-08,
41,-19,1.96E-08,
42,-18,2.35E-08,
43,-17,4.48E-08,
44,-16,4.03E-08,
45,-15,4.98E-08,
46,-14,3.62E-08,
47,-13,2.23E-08,
48,-12,1.70E-08,
49,-11,2.25E-08,
50,-10,2.11E-08,
51,-9,2.05E-08,
52,-8,2.53E-08,
53,-7,2.33E-08,
54,-6,2.27E-08,
55,-5,2.28E-08,
56,-4.5,2.36E-08,
57,-4,2.40E-08,
58,-3.5,2.29E-08,
59,-3,3.29E-08,
60,-2.5,2.17E-08,
61,-2,2.02E-08,
62,-1.5,2.10E-08,
63,-1,2.29E-08,
64,-0.5,2.07E-08,
65,0,2.11E-08,
66,0.5,2.46E-08,
67,1,2.63E-08,
68,1.5,2.06E-08,
69,2,2.16E-08,
70,2.5,2.20E-08,
71,3,2.05E-08,
72,3.5,2.07E-08,
73,4,2.00E-08,
74,4.5,2.07E-08,
75,5,2.03E-08,
76,6,2.03E-08,
77,7,2.03E-08,
78,8,2.28E-08,
79,9,2.16E-08,
80,10,2.11E-08,
81,11,2.21E-08,
82,12,2.10E-08,
83,13,2.09E-08,
84,14,2.06E-08,
85,15,1.89E-08,
86,16,1.82E-08,
87,17,2.02E-08,
88,18,1.83E-08,
89,19,1.81E-08,
90,20,1.85E-08,
91,21,1.67E-08,
92,22,1.58E-08,
93,23,1.58E-08,
94,24,1.61E-08,
95,25,1.56E-08,
96,26,1.56E-08,
97,27,1.48E-08,
98,28,1.48E-08,
99,29,1.57E-08,
100,30,1.54E-08,
101,31,1.69E-08,
102,32,1.54E-08,
103,33,1.61E-08,
104,34,1.71E-08,
105,35,1.75E-08,
106,36,1.66E-08,
107,37,1.63E-08,
108,38,1.44E-08,
109,39,1.49E-08,
110,40,1.52E-08,
111,41,1.54E-08,
112,42,1.63E-08,
113,43,1.51E-08,
114,44,1.58E-08,
115,45,1.58E-08,
116,46,1.44E-08,
117,47,1.58E-08,
118,48,1.59E-08,
119,49,1.54E-08,
120,50,1.50E-08,
121,51,1.58E-08,
122,52,1.58E-08,
123,53,1.58E-08,
124,54,1.59E-08,
125,55,1.60E-08,
126,56,1.68E-08,
127,57,1.81E-08,
128,58,1.80E-08,
129,59,1.80E-08,
130,60,1.86E-08,
